Date,Date_YMD,Status,Confirmed,CCumulative, Deceased,DCumulative
9-Jul-20,7/9/2020,Confirmed,577,11201,6,67
10-Jul-20,7/10/2020,Confirmed,755,11956,6,73
11-Jul-20,7/11/2020,Confirmed,570,12526,6,79
12-Jul-20,7/12/2020,Confirmed,595,13121,5,84
13-Jul-20,7/13/2020,Confirmed,616,13737,7,91
14-Jul-20,7/14/2020,Confirmed,543,14280,5,96
15-Jul-20,7/15/2020,Confirmed,618,14898,5,101
16-Jul-20,7/16/2020,Confirmed,494,15392,2,103
17-Jul-20,7/17/2020,Confirmed,718,16110,6,109
18-Jul-20,7/18/2020,Confirmed,591,16701,3,112
19-Jul-20,7/19/2020,Confirmed,736,17437,7,119
20-Jul-20,7/20/2020,Confirmed,673,18110,6,125
21-Jul-20,7/21/2020,Confirmed,647,18757,8,133
22-Jul-20,7/22/2020,Confirmed,1078,19835,6,139
23-Jul-20,7/23/2020,Confirmed,1264,21099,6,145
24-Jul-20,7/24/2020,Confirmed,1594,22693,8,153
25-Jul-20,7/25/2020,Confirmed,1320,24013,10,163
26-Jul-20,7/26/2020,Confirmed,1376,25389,11,174
27-Jul-20,7/27/2020,Confirmed,1503,26892,7,181
28-Jul-20,7/28/2020,Confirmed,1215,28107,8,189
29-Jul-20,7/29/2020,Confirmed,1068,29175,6,195
30-Jul-20,7/30/2020,Confirmed,1203,30378,10,205
31-Jul-20,7/31/2020,Confirmed,1499,31877,9,214
1-Aug-20,8/1/2020,Confirmed,1602,33479,11,225
2-Aug-20,8/2/2020,Confirmed,1434,34913,11,236
3-Aug-20,8/3/2020,Confirmed,1384,36297,12,248
4-Aug-20,8/4/2020,Confirmed,1384,37681,10,258
5-Aug-20,8/5/2020,Confirmed,1337,39018,11,269
6-Aug-20,8/6/2020,Confirmed,1699,40717,11,280
7-Aug-20,8/7/2020,Confirmed,1833,42550,12,292
8-Aug-20,8/8/2020,Confirmed,1643,44193,15,307
9-Aug-20,8/9/2020,Confirmed,1734,45927,14,321
10-Aug-20,8/10/2020,Confirmed,1528,47455,16,337
11-Aug-20,8/11/2020,Confirmed,1341,48796,12,349
12-Aug-20,8/12/2020,Confirmed,1876,50672,9,358
13-Aug-20,8/13/2020,Confirmed,1981,52653,9,367
14-Aug-20,8/14/2020,Confirmed,1977,54630,10,377
15-Aug-20,8/15/2020,Confirmed,2496,57126,9,386
16-Aug-20,8/16/2020,Confirmed,2924,60050,10,396
17-Aug-20,8/17/2020,Confirmed,2244,62294,10,406
18-Aug-20,8/18/2020,Confirmed,2239,64533,9,415
19-Aug-20,8/19/2020,Confirmed,2589,67122,10,425
20-Aug-20,8/20/2020,Confirmed,2898,70020,8,433
21-Aug-20,8/21/2020,Confirmed,2698,72718,10,443
